LID , TA , TE , ED , PAFRAC , PR , PRD , SHEI
tile_0006 ,     121.6880 ,   10505.7420 ,      86.3334 ,       1.2604 ,       5.0000 ,       4.1089 ,       0.7656
tile_0014 ,    4624.3083 ,  529037.1060 ,     114.4035 ,       1.4130 ,      15.0000 ,       0.3244 ,       0.7435
tile_0004 ,     182.7369 ,   17118.3480 ,      93.6776 ,       1.2977 ,       6.0000 ,       3.2834 ,       0.6588
tile_0008 ,    1817.3715 ,  140410.5300 ,      77.2602 ,       1.3579 ,      12.0000 ,       0.6603 ,       0.4643
tile_0001 ,       1.1472 ,       0.0000 ,       0.0000 , N/A ,       1.0000 ,      87.1667 ,       0.0000
tile_0011 ,    7229.6608 ,  783321.8640 ,     108.3484 ,       1.4106 ,      13.0000 ,       0.1798 ,       0.6806
tile_0007 ,    1171.2368 ,  152805.5880 ,     130.4651 ,       1.4148 ,       9.0000 ,       0.7684 ,       0.7123
tile_0012 ,    4251.0497 ,  426670.5300 ,     100.3683 ,       1.4017 ,      12.0000 ,       0.2823 ,       0.5874
tile_0002 ,      19.2570 ,    1001.9100 ,      52.0283 , N/A ,       2.0000 ,      10.3858 ,       0.9971
tile_0003 ,     100.1365 ,   14427.5040 ,     144.0783 ,       1.3471 ,       4.0000 ,       3.9945 ,       0.8399
tile_0009 ,    2228.6524 ,  110210.1000 ,      49.4515 ,       1.3609 ,       8.0000 ,       0.3590 ,       0.3397
tile_0005 ,       0.1639 ,       0.0000 ,       0.0000 , N/A ,       1.0000 ,     610.1669 ,       0.0000
tile_0013 ,    1479.3493 ,  132652.8840 ,      89.6698 ,       1.3770 ,      12.0000 ,       0.8112 ,       0.5657
tile_0015 ,    4517.4523 ,  451432.0200 ,      99.9307 ,       1.3836 ,      12.0000 ,       0.2656 ,       0.6005
tile_0020 ,    5846.8425 ,  600344.4720 ,     102.6784 ,       1.3752 ,      12.0000 ,       0.2052 ,       0.5163
tile_0018 ,   10747.6325 , 1108656.3540 ,     103.1535 ,       1.3829 ,      14.0000 ,       0.1303 ,       0.7888
tile_0010 ,       2.2945 ,     343.5120 ,     149.7140 , N/A ,       4.0000 ,     174.3334 ,       0.6497
tile_0016 ,     404.0697 ,   38874.1080 ,      96.2064 ,       1.3327 ,       7.0000 ,       1.7324 ,       0.6545
tile_0022 ,    7800.3243 ,  713102.2860 ,      91.4196 ,       1.3851 ,       9.0000 ,       0.1154 ,       0.5341
tile_0019 ,    1242.6108 ,  132137.6160 ,     106.3387 ,       1.3470 ,      12.0000 ,       0.9657 ,       0.6577
tile_0017 ,     167.9049 ,    9131.6940 ,      54.3861 ,       1.2582 ,       6.0000 ,       3.5735 ,       0.5056
tile_0021 ,      67.7683 ,    7557.2640 ,     111.5161 ,       1.4803 ,       3.0000 ,       4.4268 ,       0.6408
